Título,Link,Cuerpo,Sección
Guerra Rusia-Ucrania: un periodista francés murió en medio de un ataque con cohetes,https://www.lanacion.com.ar//el-mundo/guerra-rusia-ucrania-un-periodista-frances-murio-en-medio-de-un-ataque-con-cohetes-nid10052023/,Se trata del coordinador de video de la agencia francesa AFP en ese país; se encontraba junto a militares ucranianos durante el hecho,El Mundo
Descubren una cámara escondida en el baño de uno de los cruceros más grandes del mundo e intervino el FBI,https://www.lanacion.com.ar//el-mundo/descubren-una-camara-escondida-en-el-bano-de-uno-de-los-cruceros-mas-grande-del-mundo-e-intervino-el-nid09052023/,"Más de 150 personas habrían sido grabadas sin su consentimiento, entre ellos 40 menores, de acuerdo a un reporte divulgado por una división del FBI ",El Mundo
La mujer que escribió un libro sobre la muerte de su esposo y ahora es acusada de haberlo asesinado,https://www.lanacion.com.ar//el-mundo/la-mujer-que-escribio-un-libro-sobre-la-muerte-de-su-esposo-y-ahora-es-acusada-de-haberlo-asesinado-nid09052023/,"En “¿Estás conmigo?”, Kouri Richins narró el doloroso proceso que experimentó tras el fallecimiento de su pareja, Eric; más de un año después, un forense hizo un revelador hallazgo en el cuerpo de la víctima que la compromete",El Mundo
Por qué los bancos centrales están comprando oro al ritmo más rápido en 80 años,https://www.lanacion.com.ar//el-mundo/por-que-los-bancos-centrales-estan-comprando-oro-al-ritmo-mas-rapido-en-80-anos-nid09052023/,"Algunos analistas sitúan el inicio de esta tendencia incluso antes de la invasión a Ucrania, pero la mayoría apuntan como uno de los detonantes a la facilidad con la que Estados Unidos impuso sanciones a Rusia cuando empezó el conflicto",El Mundo
Coronación de Carlos III: la inesperada reacción de una invitada al ver entrar a Harry a la ceremonia ,https://www.lanacion.com.ar//el-mundo/coronacion-de-carlos-iii-la-inesperada-reaccion-de-una-invitada-al-ver-entrar-a-harry-a-la-ceremonia-nid06052023/,La presencia del miembro que más da que hablar en la familia real causó repercusiones en el evento; el gesto de una mujer en particular no pasó para nada desapercibido,El Mundo
Consternación en París por la marcha de grupos de ultraderecha neofascista al que pertenecían los asesinos de un rugbier argentino,https://www.lanacion.com.ar//el-mundo/consternacion-en-paris-por-la-marcha-de-grupos-de-ultraderecha-neofascista-al-que-pertenecian-los-nid09052023/,"Esta vez no hubo disturbios, pero la Prefectura de la capital francesa dio vía libre para un desfile con uniformes nazis, capuchas negras y eslóganes subversivos",El Mundo
Putin sostuvo que el destino de Rusia depende de la guerra en Ucrania en el Día de la Victoria,https://www.lanacion.com.ar//el-mundo/putin-sostuvo-que-el-destino-de-rusia-depende-de-la-guerra-en-ucrania-en-el-dia-de-la-victoria-nid09052023/,"En un deslucido desfile del Día de la Victoria en la Plaza Roja, el mandatario acusó a Occidente de “la nueva guerra desencadenada contra Rusia”",El Mundo
José Antonio Kast y Javier Milei: similitudes y diferencias entre dos fenómenos que crecen en Chile y la Argentina,https://www.lanacion.com.ar//el-mundo/jose-antonio-kast-y-javier-milei-similitudes-y-diferencias-entre-dos-fenomenos-que-crecen-en-chile-y-nid09052023/,"El excandidato presidencial chileno logró un contundente triunfo en las elecciones para la Constituyente del domingo pasado; pese a su buen vínculo con el diputado libertario argentino, analistas consultados por LA NACION remarcan las características que los diferencian",El Mundo
China finalmente tiene un rival como gran fábrica del mundo: el impulso de la India para convertirse en alternativa,https://www.lanacion.com.ar//el-mundo/china-finalmente-tiene-un-rival-como-gran-fabrica-del-mundo-el-impulso-de-la-india-para-convertirse-nid09052023/,Las grandes empresas occidentales buscan países alternativos para sus fábricas y el país asiático gana terreno entre los competidores,El Mundo
"Tras otro duro revés, López Obrador arremete contra la Corte Suprema y pide que los jueces sean elegidos “por el pueblo”",https://www.lanacion.com.ar//el-mundo/tras-otro-duro-reves-lopez-obrador-arremete-contra-la-corte-suprema-y-pide-que-los-jueces-sean-nid09052023/,El máximo tribunal invalidó parte de la reforma electoral promovida por el presidente y el mandatario dijo que el Poder Judicial está “podrido”,El Mundo
